# Pakistani Websites — Extended Measurement Target List
# Total: 1877 domains
# Compiled June 2026 for RIPE Atlas routing study
# Sources: manual curation + CitizenLab PK test list
# Format: hostname,label,category
# ---------------------------------------------------

# ── GOVERNMENT (285 sites)
mochari.pk,Mochari,ecommerce
motorcycles.pk,Motorcycles,ecommerce
myntra.pk,Myntra,ecommerce
nameera.com.pk,Nameera,ecommerce
national.com.pk,National,ecommerce
ndure.com,Ndure,ecommerce
nishat.net,Nishat,ecommerce
olpers.pk,Olpers,ecommerce
olx.com.pk,Olx,ecommerce
orderflowers.pk,Orderflowers,ecommerce
outfitters.com.pk,Outfitters,ecommerce
pakstyle.pk,Pakstyle,ecommerce
pakwheels.com,Pakwheels,ecommerce
pampers.pk,Pampers,ecommerce
panadol.pk,Panadol,ecommerce
pantene.pk,Pantene,ecommerce
paramount.pk,Paramount,ecommerce
pepsi.pk,Pepsi,ecommerce
photoprint.pk,Photoprint,ecommerce
pickme.pk,Pickme,ecommerce
priceoye.pk,Priceoye,ecommerce
printlinks.pk,Printlinks,ecommerce
prints.pk,Prints,ecommerce
rafhan.pk,Rafhan,ecommerce
readings.com.pk,Readings,ecommerce
retailistan.com,Retailistan,ecommerce
roses.pk,Roses,ecommerce
samsung.com.pk,Samsung,ecommerce
sana-safinaz.com,Sana Safinaz,ecommerce
sapphireonline.pk,Sapphireonline,ecommerce
sendgifts.pk,Sendgifts,ecommerce
servicesindustriesltd.com,Servicesindustriesltd,ecommerce
servis.com.pk,Servis,ecommerce
shan.com.pk,Shan,ecommerce
shein.pk,Shein,ecommerce
shoebox.pk,Shoebox,ecommerce
shophive.com,Shophive,ecommerce
spareszone.pk,Spareszone,ecommerce
sprite.pk,Sprite,ecommerce
strepsils.pk,Strepsils,ecommerce
styletoday.pk,Styletoday,ecommerce
sweets.pk,Sweets,ecommerce
symbios.pk,Symbios,ecommerce
tablets.pk,Tablets,ecommerce
tajori.pk,Tajori,ecommerce
tecno.com.pk,Tecno,ecommerce
telemart.pk,Telemart,ecommerce
temu.pk,Temu,ecommerce
tgif.pk,Tgif,ecommerce
uber.com,Uber,ecommerce
vicks.pk,Vicks,ecommerce
vosseller.pk,Vosseller,ecommerce
watches.pk,Watches,ecommerce
wishpk.com,Wishpk,ecommerce
xiaomi.pk,Xiaomi,ecommerce
yayvo.com,Yayvo,ecommerce
zmall.pk,Zmall,ecommerce

# ── TELECOM (54 sites)
4g.pk,4G,telecom
5g.pk,5G,telecom
balance.pk,Balance,telecom
balochvoice.com,Balochvoice,telecom
brain.net.pk,Brain,telecom
broadband.pk,Broadband,telecom
comsats.net.pk,Comsats,telecom
crssblog.com,Crssblog,telecom
cybernet.pk,Cybernet,telecom
dsl.com.pk,Dsl,telecom
evo.com.pk,Evo,telecom
fascom.com.pk,Fascom,telecom
fiber.pk,Fiber,telecom
fiberlink.com.pk,Fiberlink,telecom
gerry.pk,Gerry,telecom
helplineinternet.pk,Helplineinternet,telecom
hotspot.pk,Hotspot,telecom
internet.pk,Internet,telecom
jazz.com.pk,Jazz,telecom
khyberinstitute.wordpress.com,Khyberinstitute,telecom
linkdotnet.com.pk,Linkdotnet,telecom
lte.pk,Lte,telecom
micronet.net.pk,Micronet,telecom
mobile.pk,Mobile,telecom
multinet.net.pk,Multinet,telecom
nayatel.com,Nayatel,telecom
nexlinx.net.pk,Nexlinx,telecom
optix.com.pk,Optix,telecom
paknasp.net.pk,Paknasp,telecom
ptcl.com.pk,Ptcl,telecom
ptcl.net.pk,Ptcl,telecom
qubee.com.pk,Qubee,telecom
recharge.pk,Recharge,telecom
roaming.pk,Roaming,telecom
satcomm.com.pk,Satcomm,telecom
sharenet.com.pk,Sharenet,telecom
sharp-net.pk,Sharp Net,telecom
sim.pk,Sim,telecom
stormfiber.com,Stormfiber,telecom
supernet.com.pk,Supernet,telecom
telenor.com.pk,Telenor,telecom
topup.pk,Topup,telecom
transworld.com.pk,Transworld,telecom
ufone.com,Ufone,telecom
ufone.com.pk,Ufone,telecom
vfone.pk,Vfone,telecom
warid.com.pk,Warid,telecom
wateen.com,Wateen,telecom
wi-tribe.com.pk,Wi Tribe,telecom
wifi.pk,Wifi,telecom
wifiphoneandbroadband.pk,Wifiphoneandbroadband,telecom
wireless.pk,Wireless,telecom
worldcall.net.pk,Worldcall,telecom
zong.com.pk,Zong,telecom

# ── EDUCATION (211 sites)
aahung.org,Aahung,education
acf.edu.pk,Acf,education
act.pk,Act,education
admission.pk,Admission,education
admissions.edu.pk,Admissions,education
aga-khan.org.pk,Aga Khan,education
aiou.edu.pk,Aiou,education
aklc.edu.pk,Aklc,education
aku.edu,Aku,education
alevels.pk,Alevels,education
alison.com.pk,Alison,education
ap.pk,Ap,education
arts.edu.pk,Arts,education
au.edu.pk,Au,education
aup.edu.pk,Aup,education
aust.edu.pk,Aust,education
awkum.edu.pk,Awkum,education
bahria.edu.pk,Bahria,education
baku.edu.pk,Baku,education
balochuniv.edu.pk,Balochuniv,education
beacon-house.net,Beacon House,education
beaconhouse.edu.pk,Beaconhouse,education
biek.edu.pk,Biek,education
bisebhp.edu.pk,Bisebhp,education
bisedg-khan.edu.pk,Bisedg Khan,education
bisefsd.edu.pk,Bisefsd,education
bisegr.edu.pk,Bisegr,education
bisehyd.edu.pk,Bisehyd,education
biselahore.edu.pk,Biselahore,education
biselrk.edu.pk,Biselrk,education
bisemirpur.edu.pk,Bisemirpur,education
bisemu.edu.pk,Bisemu,education
bisemultan.edu.pk,Bisemultan,education
bisenawabshah.edu.pk,Bisenawabshah,education
bisep.edu.pk,Bisep,education
biserawalpindi.edu.pk,Biserawalpindi,education
bisesrgdha.edu.pk,Bisesrgdha,education
biseswl.edu.pk,Biseswl,education
bkasu.edu.pk,Bkasu,education
britishcouncil.org.pk,Britishcouncil,education
bsek.edu.pk,Bsek,education
bsemedc.edu.pk,Bsemedc,education
buc.edu.pk,Buc,education
buitms.edu.pk,Buitms,education
bukc.edu.pk,Bukc,education
bzu.edu.pk,Bzu,education
cadetcollege.edu.pk,Cadetcollege,education
cambridge.org.pk,Cambridge,education
coaching.pk,Coaching,education
comsats.edu.pk,Comsats,education
coursepk.com,Coursepk,education
coursera.pk,Coursera,education
cuiatk.edu.pk,Cuiatk,education
cust.edu.pk,Cust,education
dance.edu.pk,Dance,education
degree.pk,Degree,education
dhaschools.pk,Dhaschools,education
digiskills.pk,Digiskills,education
digitalbooks.pk,Digitalbooks,education
divisionalmodel.edu.pk,Divisionalmodel,education
duet.edu.pk,Duet,education
ebooks.pk,Ebooks,education
ecat.pk,Ecat,education
educationist.com.pk,Educationist,education
elearn.com.pk,Elearn,education
elearn.pk,Elearn,education
exams.pk,Exams,education
fast.edu.pk,Fast,education
fbise.edu.pk,Fbise,education
fccollege.edu.pk,Fccollege,education
fjwu.edu.pk,Fjwu,education
fpapak.org,Fpapak,education
gcu.edu.pk,Gcu,education
gcuf.edu.pk,Gcuf,education
gift.edu.pk,Gift,education
gmat.pk,Gmat,education
gre.pk,Gre,education
gu.edu.pk,Gu,education
gujranwala.edu.pk,Gujranwala,education
hamdard.edu.pk,Hamdard,education
hitecuni.edu.pk,Hitecuni,education
hometutor.pk,Hometutor,education
ib.pk,Ib,education
iba-suk.edu.pk,Iba Suk,education
iba.edu.pk,Iba,education
idc.edu.pk,Idc,education
ielts.pk,Ielts,education
iiu.edu.pk,Iiu,education
ilmkidunya.com,Ilmkidunya,education
intermediate.pk,Intermediate,education
ious.edu.pk,Ious,education
iqra.edu.pk,Iqra,education
isb.edu.pk,Isb,education
isra.edu.pk,Isra,education
itb.edu.pk,Itb,education
iub.edu.pk,Iub,education
jts.edu.pk,Jts,education
kfueit.edu.pk,Kfueit,education
kinnaird.edu.pk,Kinnaird,education
kiu.edu.pk,Kiu,education
kmuj.edu.pk,Kmuj,education
kust.edu.pk,Kust,education
lacas.edu.pk,Lacas,education
learning.pk,Learning,education
lgu.edu.pk,Lgu,education
library.pk,Library,education
luawms.edu.pk,Luawms,education
lums.edu.pk,Lums,education
lumsahore.edu.pk,Lumsahore,education
lwl.edu.pk,Lwl,education
maju.edu.pk,Maju,education
mariestopespk.org,Mariestopespk,education
masters.pk,Masters,education
matric.pk,Matric,education
mdcat.pk,Mdcat,education
mgu.edu.pk,Mgu,education
mnsuam.edu.pk,Mnsuam,education
muet.edu.pk,Muet,education
music.edu.pk,Music,education
must.edu.pk,Must,education
navttc.gov.pk,Navttc,education
nca.edu.pk,Nca,education
ned.edu.pk,Ned,education
newports.edu.pk,Newports,education
notes.pk,Notes,education
nts.org.pk,Nts,education
nu.edu.pk,Nu,education
nust.edu.pk,Nust,education
olevels.pk,Olevels,education
onlinetutor.pk,Onlinetutor,education
ots.org.pk,Ots,education
oxford.com.pk,Oxford,education
oxfordpk.com,Oxfordpk,education
p30.pk,P30,education
pakeducation.pk,Pakeducation,education
pakistani-education.com,Pakistani Education,education
pakstudents.com,Pakstudents,education
pakturk.edu.pk,Pakturk,education
pastpapers.pk,Pastpapers,education
pearson.pk,Pearson,education
peef.edu.pk,Peef,education
pef.edu.pk,Pef,education
phd.pk,Phd,education
pieas.edu.pk,Pieas,education
pkscholar.com,Pkscholar,education
pmas-arid.edu.pk,Pmas Arid,education
pmas-uaar.edu.pk,Pmas Uaar,education
postdoc.pk,Postdoc,education
preparation.pk,Preparation,education
pts.org.pk,Pts,education
pu.edu.pk,Pu,education
pucit.edu.pk,Pucit,education
pvtc.gop.pk,Pvtc,education
qau.edu.pk,Qau,education
quest.edu.pk,Quest,education
research.pk,Research,education
riphah.edu.pk,Riphah,education
rozee.pk,Rozee,education
sabaq.pk,Sabaq,education
salu.edu.pk,Salu,education
sat.pk,Sat,education
sau.edu.pk,Sau,education
sbbwu.edu.pk,Sbbwu,education
sbkwu.edu.pk,Sbkwu,education
sbu.edu.pk,Sbu,education
scholarship.com.pk,Scholarship,education
scholarships.pk,Scholarships,education
schoolsupplies.pk,Schoolsupplies,education
sharakpur.edu.pk,Sharakpur,education
sports.edu.pk,Sports,education
ssuet.edu.pk,Ssuet,education
stationery.pk,Stationery,education
studypk.com,Studypk,education
studysolutions.pk,Studysolutions,education
suit.edu.pk,Suit,education
superior.edu.pk,Superior,education
szabist.edu.pk,Szabist,education
taleem360.com,Taleem360,education
taleemabad.com,Taleemabad,education
technical.pk,Technical,education
tevta.gop.pk,Tevta,education
textbooks.pk,Textbooks,education
toefl.pk,Toefl,education
trangopk.com,Trangopk,education
tuf.edu.pk,Tuf,education
tuition.pk,Tuition,education
tup.edu.pk,Tup,education
tutor.com.pk,Tutor,education
tutors.pk,Tutors,education
uaar.edu.pk,Uaar,education
uaf.edu.pk,Uaf,education
ubit.edu.pk,Ubit,education
ucp.edu.pk,Ucp,education
udemy.pk,Udemy,education
uet.edu.pk,Uet,education
uhs.edu.pk,Uhs,education
uits.edu.pk,Uits,education
umsedu.pk,Umsedu,education
umt.edu.pk,Umt,education
uniforms.pk,Uniforms,education
uog.edu.pk,Uog,education
uom.edu.pk,Uom,education
uos.edu.pk,Uos,education
uow.edu.pk,Uow,education
usindh.edu.pk,Usindh,education
ust.edu.pk,Ust,education
uvas.edu.pk,Uvas,education
vocational.pk,Vocational,education
wah.edu.pk,Wah,education
yansrhr.org,Yansrhr,education
zu.edu.pk,Zu,education

# ── HEALTH (129 sites)
afic.com.pk,Afic,health
agakhanhospital.com,Agakhanhospital,health
akuh.edu,Akuh,health
amc.edu.pk,Amc,health
askdoctor.pk,Askdoctor,health
ayubmed.edu.pk,Ayubmed,health
bhc.pk,Bhc,health
bhealth.gop.pk,Bhealth,health
blog.sehat.com.pk,Blog,health
cardiology.pk,Cardiology,health
cerp.org.pk,Cerp,health
childrenshospital.org.pk,Childrenshospital,health
cmh.com.pk,Cmh,health
combined.edu.pk,Combined,health
consultdoctor.pk,Consultdoctor,health
continental.edu.pk,Continental,health
cpsp.edu.pk,Cpsp,health
dawaaidawa.com,Dawaaidawa,health
dawakhana.pk,Dawakhana,health
dccpk.org,Dccpk,health
dental.pk,Dental,health
dermatology.pk,Dermatology,health
diksha.pk,Diksha,health
doctorpk.com,Doctorpk,health
dow.edu.pk,Dow,health
drabc.pk,Drabc,health
drap.gov.pk,Drap,health
drapp.pk,Drapp,health
drugstore.com.pk,Drugstore,health
fishermencooperative.pk,Fishermencooperative,health
fitness.pk,Fitness,health
fmh.edu.pk,Fmh,health
ghq.com.pk,Ghq,health
gnl.com.pk,Gnl,health
gym.pk,Gym,health
gynecology.pk,Gynecology,health
hcms.pk,Hcms,health
health.kp.gov.pk,Health,health
healthcity.com.pk,Healthcity,health
healthkhi.com.pk,Healthkhi,health
healthtech.pk,Healthtech,health
healthwire.pk,Healthwire,health
heartfile.org,Heartfile,health
hhc.gov.pk,Hhc,health
hhf.com.pk,Hhf,health
hpfp.org.pk,Hpfp,health
ifpak.org,Ifpak,health
indushospital.org.pk,Indushospital,health
jinnah.edu.pk,Jinnah,health
kmc.edu.pk,Kmc,health
lahoregeneral.pk,Lahoregeneral,health
lgh.gop.pk,Lgh,health
liaquatmemorial.pk,Liaquatmemorial,health
liaquatuni.edu.pk,Liaquatuni,health
lifecare.com.pk,Lifecare,health
marham.pk,Marham,health
mdlink.pk,Mdlink,health
medico.pk,Medico,health
medilinks.com.pk,Medilinks,health
medinol.com.pk,Medinol,health
medinol.pk,Medinol,health
medipk.com,Medipk,health
meditation.pk,Meditation,health
medlife.com.pk,Medlife,health
medpk.com,Medpk,health
medusa.pk,Medusa,health
mentalhealth.pk,Mentalhealth,health
nacp.gov.pk,Nacp,health
naizindagi.org,Naizindagi,health
nceg.gov.pk,Nceg,health
neurology.pk,Neurology,health
nhp.gov.pk,Nhp,health
nhsrc.gov.pk,Nhsrc,health
nih.org.pk,Nih,health
nihd.gov.pk,Nihd,health
nims.edu.pk,Nims,health
oladoc.com,Oladoc,health
oncology.pk,Oncology,health
onlinedoctor.pk,Onlinedoctor,health
ophthalmology.pk,Ophthalmology,health
orthopedics.pk,Orthopedics,health
pacp.org.pk,Pacp,health
pediatrics.pk,Pediatrics,health
pharma.pk,Pharma,health
pharmabureau.pk,Pharmabureau,health
pharmacies.pk,Pharmacies,health
pharmacy.com.pk,Pharmacy,health
pharmaguide.com.pk,Pharmaguide,health
pharmatechpk.com,Pharmatechpk,health
phc.org.pk,Phc,health
phr.pk,Phr,health
physiotherapy.pk,Physiotherapy,health
pims.edu.pk,Pims,health
pims.gov.pk,Pims,health
pip.org.pk,Pip,health
pmanet.org,Pmanet,health
pmc.edu.pk,Pmc,health
pmc.gov.pk,Pmc,health
pmcpk.com,Pmcpk,health
pmrc.com.pk,Pmrc,health
pphi.org.pk,Pphi,health
punjabhealth.gop.pk,Punjabhealth,health
recircle.life,Recircle,health
rehabilitation.pk,Rehabilitation,health
rhi.pk,Rhi,health
rmc.edu.pk,Rmc,health
rtipak.org,Rtipak,health
rural.pk,Rural,health
rxpk.com,Rxpk,health
sachet.org.pk,Sachet,health
sehat.com.pk,Sehat,health
sehatkahani.com,Sehatkahani,health
services.pk,Services,health
shaukatkhanum.org.pk,Shaukatkhanum,health
shifa.com.pk,Shifa,health
shifaali.com,Shifaali,health
sina.pk,Sina,health
sindhhealth.gov.pk,Sindhhealth,health
skmth.org,Skmth,health
smbb.edu.pk,Smbb,health
sth.gop.pk,Sth,health
tabib.pk,Tabib,health
telehealth.pk,Telehealth,health
thc.pk,Thc,health
transparency.org.pk,Transparency,health
urology.pk,Urology,health
wellness.pk,Wellness,health
yoga.pk,Yoga,health
zrombesh.org,Zrombesh,health

# ── REAL ESTATE (26 sites)
alraziq.com,Alraziq,real_estate
amma.pk,Amma,real_estate
bahria.com,Bahria,real_estate
dfgroup.com.pk,Dfgroup,real_estate
dfstates.com,Dfstates,real_estate
elaanatpk.com,Elaanatpk,real_estate
emaarpackages.com.pk,Emaarpackages,real_estate
gharbaar.com,Gharbaar,real_estate
graana.com,Graana,real_estate
hamariproperty.com,Hamariproperty,real_estate
homepk.com,Homepk,real_estate
houseforsale.pk,Houseforsale,real_estate
houserent.pk,Houserent,real_estate
jagahonline.com,Jagahonline,real_estate
lamudi.pk,Lamudi,real_estate
metrokhidmat.com.pk,Metrokhidmat,real_estate
pak-property.com,Pak Property,real_estate
pakistanproperty.com,Pakistanproperty,real_estate
pakproperty.com,Pakproperty,real_estate
propertymela.pk,Propertymela,real_estate
propertypk.com,Propertypk,real_estate
propforce.com,Propforce,real_estate
propzone.com.pk,Propzone,real_estate
realestatepak.com,Realestatepak,real_estate
startprop.com,Startprop,real_estate
zameen.com,Zameen,real_estate

# ── FOOD & DELIVERY (28 sites)
biryani.com.pk,Biryani,food
bundoo-khan.com,Bundoo Khan,food
burger-lab.pk,Burger Lab,food
bykea.com,Bykea,food
cheetay.pk,Cheetay,food
chickenexpress.pk,Chickenexpress,food
cravingspk.com,Cravingspk,food
dunkinpakistan.com,Dunkinpakistan,food
eatoye.pk,Eatoye,food
fakhribakery.com,Fakhribakery,food
foodoo.pk,Foodoo,food
foodpanda.pk,Foodpanda,food
hotpot.com.pk,Hotpot,food
howdy.pk,Howdy,food
islamabadfood.com,Islamabadfood,food
karachifood.com,Karachifood,food
kfcpakistan.com,Kfcpakistan,food
lahorefood.com,Lahorefood,food
mcdonalds.com.pk,Mcdonalds,food
menu.pk,Menu,food
nandos.com.pk,Nandos,food
orderup.pk,Orderup,food
pizza-max.com.pk,Pizza Max,food
pizza.com.pk,Pizza,food
savour.com.pk,Savour,food
subway.com.pk,Subway,food
takeaway.pk,Takeaway,food
yumyumpk.com,Yumyumpk,food

# ── ENTERTAINMENT & SPORTS (177 sites)
92news.pk,92News,entertainment
aaj.tv,Aaj,entertainment
adventure.pk,Adventure,entertainment
aplus.tv,Aplus,entertainment
arena.pk,Arena,entertainment
aroojfilms.pk,Aroojfilms,entertainment
art-rooms.org,Art Rooms,entertainment
artnowpakistan.com,Artnowpakistan,entertainment
ary.com.pk,Ary,entertainment
ary.tv,Ary,entertainment
arydigital.tv,Arydigital,entertainment
athletics.com.pk,Athletics,entertainment
audiobook.pk,Audiobook,entertainment
audiodrama.pk,Audiodrama,entertainment
billiards.pk,Billiards,entertainment
blog.chughtaimuseum.com,Blog,entertainment
bol.com.pk,Bol,entertainment
bolentertainment.com,Bolentertainment,entertainment
boxing.pk,Boxing,entertainment
brandsynario.com,Brandsynario,entertainment
brobible.com,Brobible,entertainment
camping.pk,Camping,entertainment
canvasgallery.net,Canvasgallery,entertainment
cartoonnetwork.com.pk,Cartoonnetwork,entertainment
chess.com.pk,Chess,entertainment
chitral.pk,Chitral,entertainment
cinepax.com.pk,Cinepax,entertainment
cinestar.com.pk,Cinestar,entertainment
cliftonartgallery.com,Cliftonartgallery,entertainment
cokestudio.com.pk,Cokestudio,entertainment
comedy.pk,Comedy,entertainment
concerts.pk,Concerts,entertainment
cornetto.pk,Cornetto,entertainment
cricbuzz.com,Cricbuzz,entertainment
cricbuzz.com.pk,Cricbuzz,entertainment
cricketcountry.pk,Cricketcountry,entertainment
cricketpakistan.com.pk,Cricketpakistan,entertainment
cricwick.net,Cricwick,entertainment
culture.pk,Culture,entertainment
cutacut.com,Cutacut,entertainment
deviantart.com,Deviantart,entertainment
discomaulvi.wordpress.com,Discomaulvi,entertainment
divaonline.com.pk,Divaonline,entertainment
dramacool.pk,Dramacool,entertainment
dramaonline.pk,Dramaonline,entertainment
dramas.online,Dramas,entertainment
dramasonline.com,Dramasonline,entertainment
eacpe.org,Eacpe,entertainment
espncricinfo.com,Espncricinfo,entertainment
espncricinfo.com.pk,Espncricinfo,entertainment
etrends.pk,Etrends,entertainment
eventbrite.pk,Eventbrite,entertainment
events.pk,Events,entertainment
exhibition.pk,Exhibition,entertainment
festivals.pk,Festivals,entertainment
filmepakistan.com,Filmepakistan,entertainment
filmypakistan.com,Filmypakistan,entertainment
fmradio.pk,Fmradio,entertainment
funpk.com,Funpk,entertainment
galaxylollywood.com,Galaxylollywood,entertainment
gallery.pk,Gallery,entertainment
gallery6islamabad.com,Gallery6Islamabad,entertainment
gamepk.com,Gamepk,entertainment
gamepoint.pk,Gamepoint,entertainment
gamespk.com,Gamespk,entertainment
geo.com.pk,Geo,entertainment
geofunfirst.com,Geofunfirst,entertainment
hellopakistanmag.com,Hellopakistanmag,entertainment
hifivepk.com,Hifivepk,entertainment
hiking.pk,Hiking,entertainment
hinduhumanrights.org,Hinduhumanrights,entertainment
hipinpakistan.com,Hipinpakistan,entertainment
hum.tv,Hum,entertainment
humkahani.com,Humkahani,entertainment
humor.pk,Humor,entertainment
hunza.pk,Hunza,entertainment
imax.com.pk,Imax,entertainment
jammu-kashmir.com,Jammu Kashmir,entertainment
jazz.pk,Jazz,entertainment
jokes.pk,Jokes,entertainment
k2.pk,K2,entertainment
kabaddi.pk,Kabaddi,entertainment
karacheesy.com,Karacheesy,entertainment
karakoram.pk,Karakoram,entertainment
lahorefort.pk,Lahorefort,entertainment
lays.pk,Lays,entertainment
lollywoodfilm.com,Lollywoodfilm,entertainment
lyrics.pk,Lyrics,entertainment
manhoos.com,Manhoos,entertainment
mashion.pk,Mashion,entertainment
memes.pk,Memes,entertainment
mobilink.pk,Mobilink,entertainment
mohenjo-daro.pk,Mohenjo Daro,entertainment
movieworld.pk,Movieworld,entertainment
mp3.pk,Mp3,entertainment
museum.pk,Museum,entertainment
music.pk,Music,entertainment
musicpk.com,Musicpk,entertainment
mxtube.pk,Mxtube,entertainment
myloralai.blogspot.com,Myloralai,entertainment
nangaparbat.pk,Nangaparbat,entertainment
nescafegaragepk.com,Nescafegaragepk,entertainment
nueplex.com,Nueplex,entertainment
ocac.net.pk,Ocac,entertainment
online-radio.pk,Online Radio,entertainment
orangeink.pk,Orangeink,entertainment
page3magazine.com,Page3Magazine,entertainment
pak-sports.com,Pak Sports,entertainment
pakcricket.com,Pakcricket,entertainment
pakfootball.com,Pakfootball,entertainment
pakfootball.pk,Pakfootball,entertainment
pakgames.com,Pakgames,entertainment
pakicc.com,Pakicc,entertainment
pakistanfilm.pk,Pakistanfilm,entertainment
pakistaniaat.org,Pakistaniaat,entertainment
pakistanidramas.com,Pakistanidramas,entertainment
pakquake.com,Pakquake,entertainment
paktennis.pk,Paktennis,entertainment
paktv.tv,Paktv,entertainment
pao.org.pk,Pao,entertainment
pcboard.com.pk,Pcboard,entertainment
pff.org.pk,Pff,entertainment
phf.com.pk,Phf,entertainment
pkdrama.pk,Pkdrama,entertainment
pkgame.com,Pkgame,entertainment
playgames.pk,Playgames,entertainment
playpk.com,Playpk,entertainment
playzone.pk,Playzone,entertainment
pmln.org.pk,Pmln,entertainment
podcast.pk,Podcast,entertainment
psf.com.pk,Psf,entertainment
psl.com.pk,Psl,entertainment
pslt20.com,Pslt20,entertainment
ptf.org.pk,Ptf,entertainment
radio.pk,Radio,entertainment
rd.com,Rd,entertainment
reels.pk,Reels,entertainment
saatchiart.com,Saatchiart,entertainment
saiynabashirphoto.com,Saiynabashirphoto,entertainment
samaa.tv,Samaa,entertainment
shehzadghias.com,Shehzadghias,entertainment
shorts.pk,Shorts,entertainment
siddysays.com,Siddysays,entertainment
snooker.pk,Snooker,entertainment
socialdiary.pk,Socialdiary,entertainment
somethinghaute.com,Somethinghaute,entertainment
songs.pk,Songs,entertainment
soundcloud.pk,Soundcloud,entertainment
sportspk.com,Sportspk,entertainment
spotify.pk,Spotify,entertainment
squashpakistan.com,Squashpakistan,entertainment
style.pk,Style,entertainment
swat.pk,Swat,entertainment
swimming.pk,Swimming,entertainment
taxila.pk,Taxila,entertainment
telenor.pk,Telenor,entertainment
theater.pk,Theater,entertainment
thecricketmonthly.pk,Thecricketmonthly,entertainment
thekollective.pk,Thekollective,entertainment
thelittleart.org,Thelittleart,entertainment
thetruthmag.com,Thetruthmag,entertainment
ticketbox.pk,Ticketbox,entertainment
ticketgenie.pk,Ticketgenie,entertainment
ticketmaster.pk,Ticketmaster,entertainment
tiktok.pk,Tiktok,entertainment
tourism.pk,Tourism,entertainment
travel.pk,Travel,entertainment
trekking.pk,Trekking,entertainment
trending.pk,Trending,entertainment
ufone.pk,Ufone,entertainment
unforeseencontingencies.blogspot.com,Unforeseencontingencies,entertainment
unlock5.com,Unlock5,entertainment
ur.wikipedia.org,Ur,entertainment
vaslart.org,Vaslart,entertainment
viral.pk,Viral,entertainment
vtunnel.info,Vtunnel,entertainment
wrestling.pk,Wrestling,entertainment

# ── JOBS (22 sites)
bayt.com,Bayt,jobs
brightspire.pk,Brightspire,jobs
brightspirepk.com,Brightspirepk,jobs
careerpakistan.com,Careerpakistan,jobs
careerpoint.com.pk,Careerpoint,jobs
contractstaff.pk,Contractstaff,jobs
cvvault.pk,Cvvault,jobs
eworkspakistan.com,Eworkspakistan,jobs
glassdoor.com.pk,Glassdoor,jobs
hirequest.pk,Hirequest,jobs
hronline.pk,Hronline,jobs
humanresources.pk,Humanresources,jobs
indeed.com.pk,Indeed,jobs
jobpk.com,Jobpk,jobs
jobsinpakistan.com,Jobsinpakistan,jobs
jobz.com.pk,Jobz,jobs
jobz.pk,Jobz,jobs
linkedin.com,Linkedin,jobs
mustakbil.com,Mustakbil,jobs
naukrigulf.com,Naukrigulf,jobs
pakjobs.com,Pakjobs,jobs
paperpk.com,Paperpk,jobs

# ── TECH & STARTUPS (80 sites)
ai.pk,Ai,tech
angels.pk,Angels,tech
animation.pk,Animation,tech
appdevelopment.pk,Appdevelopment,tech
army.com.pk,Army,tech
arpatech.com,Arpatech,tech
automation.pk,Automation,tech
bitcoin.pk,Bitcoin,tech
blockchain.pk,Blockchain,tech
brandingpk.com,Brandingpk,tech
ciit.edu.pk,Ciit,tech
cloud.pk,Cloud,tech
cloudpk.com,Cloudpk,tech
colgate.pk,Colgate,tech
contentpk.com,Contentpk,tech
creative.pk,Creative,tech
crypto.pk,Crypto,tech
cybersec.pk,Cybersec,tech
datacenter.pk,Datacenter,tech
deeplearning.pk,Deeplearning,tech
design.pk,Design,tech
digitalmarketing.pk,Digitalmarketing,tech
ecommercepk.com,Ecommercepk,tech
fauji.com.pk,Fauji,tech
fiverr.pk,Fiverr,tech
freelance.pk,Freelance,tech
freelancer.pk,Freelancer,tech
geniustech.com.pk,Geniustech,tech
graphicdesign.pk,Graphicdesign,tech
gsk.com.pk,Gsk,tech
hosting.pk,Hosting,tech
i2cinc.com,I2Cinc,tech
ici.com.pk,Ici,tech
investor.pk,Investor,tech
iot.pk,Iot,tech
itpk.net,Itpk,tech
memon.com.pk,Memon,tech
microcom.com.pk,Microcom,tech
ml.pk,Ml,tech
nestio.com.pk,Nestio,tech
nestle.pk,Nestle,tech
netaccess.net.pk,Netaccess,tech
netsol.com,Netsol,tech
ntp.gov.pk,Ntp,tech
p30download.com.pk,P30Download,tech
p@sha.net.pk,P@Sha,tech
p@sha.org.pk,P@Sha,tech
pagalguy.com.pk,Pagalguy,tech
pak-data.com,Pak Data,tech
pasha.org.pk,Pasha,tech
pgpakistan.pk,Pgpakistan,tech
photography.pk,Photography,tech
procter.pk,Procter,tech
reckitt.pk,Reckitt,tech
robotics.pk,Robotics,tech
security.pk,Security,tech
seopk.com,Seopk,tech
servers.pk,Servers,tech
socialmediapk.com,Socialmediapk,tech
softwaredevelopment.pk,Softwaredevelopment,tech
softwarepk.com,Softwarepk,tech
startups.pk,Startups,tech
startupspk.com,Startupspk,tech
systems.com.pk,Systems,tech
tcpak.com,Tcpak,tech
techenthu.com,Techenthu,tech
techjuice.com,Techjuice,tech
techlogix.com,Techlogix,tech
technologypark.pk,Technologypark,tech
techpakistan.org,Techpakistan,tech
techpk.net,Techpk,tech
telpak.net,Telpak,tech
unilever.pk,Unilever,tech
upwork.pk,Upwork,tech
venture.pk,Venture,tech
videography.pk,Videography,tech
vpn.pk,Vpn,tech
